Id,PID,Garage Finish,Garage Cars,SalePrice,Combined Area,House Age,Garage Age,Years since Remod/Add,Total Rooms AbvGrd,Combined House Qual,Neighborhood_Blmngtn,Neighborhood_Blueste,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_Greens,Neighborhood_GrnHill,Neighborhood_IDOTRR,Neighborhood_Landmrk,Neighborhood_MeadowV,Neighborhood_Mitchel,Neighborhood_NAmes,Neighborhood_NPkVill,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SWISU,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Neighborhood_Veenker
21,527358140,2.0,2.0,190000,4234.0,33,33.0,33,9,216.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1873,534177210,1.0,2.0,175500,3012.0,34,34.0,34,8,189.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2125,907135050,1.0,1.0,146000,2364.0,13,12.0,13,6,180.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1489,908102260,3.0,1.0,147500,2788.0,43,43.0,43,8,180.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2383,528110050,3.0,3.0,465000,5002.0,0,0.0,0,10,1250.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
983,923275040,3.0,2.0,165500,2809.0,31,31.0,31,5,240.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1325,902406090,1.0,1.0,131500,3197.0,54,54.0,54,9,135.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1378,905102170,1.0,1.0,129500,2464.0,43,43.0,43,6,135.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1537,909281110,3.0,2.0,257076,3267.0,73,73.0,58,11,216.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
905,909101140,1.0,2.0,117000,3248.0,68,32.0,49,8,135.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1532,909275050,2.0,1.0,149000,2548.0,77,77.0,8,8,252.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,534475100,2.0,1.0,128000,2399.0,56,56.0,56,7,135.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1078,528188090,2.0,2.0,155000,2864.0,5,5.0,4,9,448.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2511,533221080,1.0,2.0,166000,2720.0,6,6.0,6,7,384.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
912,909250220,1.0,2.0,135000,3679.0,81,28.0,59,9,144.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2351,527356020,2.0,2.0,250000,4740.0,28,28.0,28,16,336.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
330,923226250,0.0,0.0,76000,1638.0,40,40.0,40,7,108.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2586,535305120,1.0,2.0,155000,2191.0,55,55.0,55,7,216.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
224,905106140,3.0,1.0,158000,2314.0,41,41.0,41,9,162.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
98,533212020,2.0,2.0,149500,2280.0,6,6.0,5,7,448.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2565,534479300,1.0,1.0,121000,2112.0,52,52.0,31,6,135.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1934,535304170,3.0,1.0,136000,2373.0,54,54.0,54,7,162.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
997,527107010,3.0,2.0,173000,2938.0,12,12.0,12,10,216.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,528382020,3.0,3.0,290000,4093.0,11,11.0,3,12,512.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1799,528458130,3.0,2.0,303477,4344.0,0,0.0,0,14,640.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
230,905109170,2.0,2.0,270000,3593.0,33,33.0,9,6,336.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1295,902109160,1.0,1.0,122250,2901.0,88,88.0,58,7,150.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
638,535178120,1.0,1.0,153000,3114.0,54,54.0,54,7,180.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2278,923202134,0.0,0.0,147000,2240.0,0,0.0,0,7,180.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2202,909252150,1.0,1.0,148500,1845.0,77,77.0,12,6,252.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2833,908188150,1.0,2.0,130000,3064.0,2,2.0,2,9,448.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1707,528150040,3.0,3.0,372000,4447.0,1,1.0,1,10,1125.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2428,528228565,3.0,2.0,213490,3308.0,1,1.0,1,8,448.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
242,905453080,2.0,2.0,308030,3588.0,1,1.0,0,6,448.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1564,914453045,3.0,3.0,300000,4658.0,12,12.0,11,10,560.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2613,535403150,3.0,2.0,159500,2388.0,47,52.0,47,7,162.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2832,908188140,1.0,2.0,137500,3059.0,2,2.0,2,9,448.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2459,528439030,2.0,3.0,232000,4066.0,1,1.0,1,9,448.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1360,903452025,1.0,2.0,93850,1976.0,78,78.0,58,5,216.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2723,905200380,1.0,1.0,105000,2066.0,82,82.0,56,6,90.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1350,903235100,1.0,1.0,68500,1280.0,81,88.0,58,5,72.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,535106190,1.0,2.0,154300,3859.0,50,50.0,50,14,135.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2235,910201050,0.0,0.0,129850,2537.0,82,82.0,4,8,180.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993,902301130,1.0,2.0,114000,2328.0,97,87.0,57,7,135.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
367,527214050,3.0,3.0,501837,5616.0,1,0.0,0,11,1125.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1309,902300215,1.0,3.0,153900,3012.0,93,59.0,58,9,135.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
402,527425110,1.0,2.0,130000,2304.0,38,23.0,3,6,108.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1592,923203140,2.0,2.0,160500,2770.0,11,11.0,11,6,270.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2409,528186110,2.0,2.0,310090,3907.0,0,0.0,0,8,900.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
539,531371050,2.0,2.0,184900,2931.0,6,6.0,6,7,448.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1940,535327200,1.0,1.0,132000,2108.0,51,51.0,7,5,180.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
588,534129370,2.0,2.0,163000,3126.0,40,40.0,40,8,180.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
96,533210060,2.0,2.0,155000,2280.0,6,6.0,6,7,448.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1187,534127210,2.0,2.0,183000,3370.0,39,39.0,39,9,162.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2154,907280090,2.0,2.0,211000,3460.0,11,11.0,5,10,448.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
550,531452260,2.0,2.0,184000,2789.0,15,15.0,15,9,448.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
811,906226100,1.0,2.0,118858,1935.0,30,30.0,30,10,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
124,534403410,2.0,2.0,180500,2788.0,46,46.0,46,7,135.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1836,533206060,3.0,2.0,166000,2776.0,1,1.0,0,7,512.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
779,905200350,2.0,2.0,148000,2756.0,49,49.0,49,7,162.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1886,534276180,1.0,2.0,124000,2364.0,51,41.0,51,7,180.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1724,528186090,3.0,2.0,277500,3678.0,2,2.0,2,8,1125.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2450,528358030,2.0,3.0,350000,4793.0,11,11.0,11,12,512.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1013,527214030,3.0,3.0,387000,4438.0,4,4.0,4,9,1125.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2084,905476170,0.0,0.0,86000,1133.0,87,87.0,5,6,108.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1184,533350120,2.0,2.0,290000,3647.0,32,32.0,1,9,800.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
728,902477130,0.0,0.0,44000,1042.0,109,109.0,59,6,54.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
950,914474070,3.0,2.0,215000,3325.0,8,8.0,7,10,360.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2524,534125210,3.0,2.0,146500,2847.0,34,34.0,34,8,180.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2513,533223080,1.0,2.0,165000,2545.0,6,6.0,6,9,448.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2028,903427040,1.0,1.0,136000,3456.0,91,91.0,57,12,216.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2309,526303060,1.0,2.0,252000,3645.0,49,49.0,49,6,360.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
51,528188120,2.0,2.0,175500,2864.0,7,7.0,7,9,448.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
699,902106010,1.0,2.0,150000,2648.0,70,70.0,59,9,135.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1881,534252110,2.0,1.0,139900,2686.0,47,47.0,29,7,135.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1345,903232090,1.0,2.0,162900,3011.0,78,78.0,16,10,135.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,535457010,1.0,2.0,160000,2672.0,48,48.0,48,7,162.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
781,905228050,0.0,0.0,63900,660.0,62,62.0,59,6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
379,527354200,3.0,2.0,184000,3326.0,31,31.0,11,9,162.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2818,908102320,3.0,2.0,149900,3460.0,47,47.0,47,8,90.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1168,533215020,3.0,2.0,300000,3747.0,8,8.0,8,7,720.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1396,905226110,1.0,2.0,145000,3335.0,48,48.0,48,9,135.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
838,907130100,2.0,2.0,231500,3162.0,12,12.0,12,10,288.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1492,908127120,0.0,0.0,108000,1992.0,68,68.0,39,7,135.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
637,535178040,2.0,1.0,120000,2708.0,53,53.0,53,7,135.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1826,532377140,1.0,2.0,128500,2548.0,46,44.0,46,6,135.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
173,902106140,1.0,2.0,115000,2396.0,83,83.0,60,6,135.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
715,902301080,1.0,1.0,110000,2244.0,62,61.0,59,7,135.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1183,533350090,2.0,3.0,150000,4802.0,31,31.0,31,13,576.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2433,528235130,3.0,2.0,178000,2524.0,2,2.0,2,9,640.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2866,909282060,1.0,3.0,199500,2825.0,74,43.0,16,10,252.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2311,527105060,3.0,2.0,183500,2738.0,9,9.0,8,9,162.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1551,910205010,1.0,1.0,126000,2568.0,41,41.0,41,9,120.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1049,527454120,1.0,2.0,148500,2550.0,31,31.0,31,6,252.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
657,535376060,1.0,2.0,149000,2748.0,70,70.0,3,9,180.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
414,527454130,1.0,2.0,137900,2751.0,32,32.0,32,9,216.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1181,533250160,3.0,2.0,324000,3911.0,15,15.0,15,8,512.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1514,909100170,0.0,0.0,98000,1728.0,83,83.0,58,6,135.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1040,527450110,1.0,1.0,103400,1734.0,35,35.0,35,7,162.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
216,905101100,0.0,0.0,94000,1800.0,135,135.0,14,7,135.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1720,528181060,2.0,2.0,209500,3735.0,1,1.0,1,8,512.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2331,527210040,3.0,3.0,545224,5676.0,0,0.0,0,14,1250.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
204,903426200,0.0,0.0,159900,2340.0,98,98.0,1,9,288.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
19,527276150,1.0,2.0,141000,2128.0,59,59.0,59,5,108.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
